label,1ch
722,25
723,23
724,23
725,22
726,22
727,21
728,19
729,16
730,17
731,15
732,15
733,15
734,14
735,15
736,15
737,13
738,14
739,16
740,18
741,21
742,20
743,21
744,21
745,22
746,21
747,20
748,18
749,16
750,15
751,15
752,16
753,17
754,17
755,16
756,18
757,19
758,19
759,16
760,15
761,15
762,14
763,16
764,19
765,20
766,19
767,19
768,20
769,21
770,23
771,20
772,19
773,20
774,19
775,17
776,17
777,15
778,16
779,15
780,9
781,8
782,9
783,12
784,15
785,18
786,20
787,22
788,22
789,23
790,23
791,20
792,18
793,19
794,19
795,21
796,23
797,21
798,20
799,20
800,19
801,19
802,18
803,17
804,19
805,21
806,21
807,19
808,18
809,16
810,17
811,18
812,16
813,17
814,15
815,13
816,13
817,13
818,16
819,20
820,21
821,22
822,27
823,26
824,25
825,24
826,21
827,20
828,17
829,14
830,12
831,11
832,8
833,9
834,9
835,11
836,13
837,15
838,17
839,19
840,22
841,22
842,21
843,18
844,18
845,20
846,19
847,18
848,17
849,18
850,18
851,19
852,16
853,16
854,13
855,13
856,15
857,16
858,18
859,18
860,18
861,17
862,19
863,17
864,13
865,14
866,14
867,16
868,20
869,20
870,19
871,20
872,19
873,20
874,20
875,17
876,17
877,16
878,17
879,18
880,19
881,20
882,22
883,22
884,21
885,21
886,19
887,17
888,15
889,14
890,14
891,16
892,15
893,16
894,18
895,17
896,19
897,20
898,20
899,19
900,17
901,16
902,18
903,17
904,15
905,14
906,13
907,13
908,15
909,14
910,12
911,13
912,14
913,15
914,17
915,17
916,17
917,19
918,17
919,18
920,16
921,16
922,15
923,15
924,14
925,16
926,17
927,15
928,13
929,12
930,12
931,11
932,15
933,15
934,15
935,17
936,18
937,19
938,19
939,17
940,18
941,18
942,19
943,18
944,18
945,20
946,18
947,16
948,15
949,14
950,12
951,10
952,9
953,10
954,12
955,12
956,13
957,15
958,17
959,18
960,18
961,16
962,15
963,15
964,15
965,13
966,12
967,13
968,13
969,15
970,14
971,10
972,9
973,9
974,11
975,14
976,14
977,13
978,16
979,17
980,18
981,15
982,12
983,9
984,11
985,12
986,9
987,10
988,10
989,11
990,14
991,16
992,14
993,15
994,16
995,15
996,16
997,14
998,16
999,16
1000,15
1001,14
1002,12
1003,10
1004,10
1005,12
1006,8
1007,4
1008,5
1009,6
1010,7
1011,8
1012,8
1013,13
1014,18
1015,19
1016,19
1017,18
1018,19
1019,20
1020,19
1021,20
1022,19
1023,14
1024,13
1025,13
1026,13
1027,9
1028,4
1029,3
1030,3
1031,6
1032,9
1033,10
1034,11
1035,12
1036,18
1037,19
1038,16
1039,15
1040,15
1041,19
1042,20
1043,21
1044,20
1045,20
1046,20
1047,18
1048,17
1049,15
1050,13
1051,10
1052,5
1053,6
1054,6
1055,7
1056,10
1057,10
1058,13
1059,18
1060,20
1061,21
1062,22
1063,20
1064,21
1065,20
1066,20
1067,17
1068,17
1069,16
1070,15
1071,14
1072,13
1073,12
1074,14
1075,14
1076,15
1077,16
1078,15
1079,14
1080,13
1081,13
1082,12
1083,14
1084,13
1085,14
1086,14
1087,15
1088,15
1089,15
1090,14
1091,13
1092,13
1093,14
1094,14
1095,14
1096,13
1097,13
1098,13
1099,14
1100,16
1101,17
1102,16
1103,15
1104,15
1105,15
1106,13
1107,12
1108,11
1109,8
1110,8
1111,7
1112,7
1113,6
1114,3
1115,2
1116,4
1117,8
1118,11
1119,13
1120,14
1121,16
1122,18
1123,19
1124,19
1125,18
1126,17
1127,16
1128,14
1129,10
1130,10
1131,10
1132,9
1133,11
1134,10
1135,12
1136,13
1137,14
1138,15
1139,16
1140,17
1141,17
1142,17
1143,14
1144,15
1145,13
1146,11
1147,10
1148,9
1149,8
1150,10
1151,9
1152,10
1153,11
1154,11
1155,12
1156,13
1157,13
1158,14
1159,13
1160,13
1161,13
1162,10
1163,10
1164,10
1165,8
1166,6
1167,7
1168,7
1169,9
1170,14
1171,12
1172,12
1173,13
1174,14
1175,13
1176,12
1177,14
1178,14
1179,14
1180,15
1181,14
1182,13
1183,15
1184,15
1185,14
1186,13
1187,11
1188,10
1189,10
1190,9
1191,7
1192,5
1193,6
1194,8
1195,8
1196,11
1197,10
1198,12
1199,15
1200,13
