製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,10/04 12:50:56,
サンプリング周波数,200,
シーケンス数,5644,
PGAゲイン,x8,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
119,0.01019196,
120,0.02595996,
121,0.04290963,
122,0.00125553,
123,-0.01377392,
124,0.0161742,
125,-0.06872188,
126,0.0288403,
127,0.01303537,
128,-0.00612995,
129,-0.02680929,
130,-0.00118168,
131,-0.01853755,
132,-0.00982269,
133,0.05291696,
134,0.02374432,
135,0.03426862,
136,0.00099704,
137,-0.12138035,
138,0.03098209,
139,-0.0785815,
140,0.12189734,
141,-0.02267342,
142,-0.00952727,
143,-0.03072359,
144,0.01355235,
145,0.01166906,
146,0.02581225,
147,0.0620011,
148,0.00051698,
149,-0.02019929,
150,-0.01669118,
151,-0.11266549,
152,0.08002167,
153,0.0611887,
154,-0.0800586,
155,-0.01591571,
156,0.03256996,
157,-0.00616688,
158,0.01303537,
159,-0.0012186,
160,-0.04324198,
161,0.05395093,
162,0.01510331,
163,-0.00827174,
164,0.05070132,
165,-0.00742241,
166,0.01059816,
167,-0.08914274,
168,0.0839729,
169,-0.05047975,
170,0.03327158,
171,-0.00819788,
172,-0.05195685,
173,-0.01543565,
174,0.03068667,
175,-0.00823481,
176,-0.00505905,
177,0.02666158,
178,-0.06680166,
179,0.02481521,
180,-0.02256264,
181,0.01997772,
182,-0.0989285,
183,0.08725944,
184,-0.10225196,
185,0.10923124,
186,0.01709738,
187,-0.02909879,
188,-0.04368511,
189,0.07178686,
190,0.00132939,
191,-0.0200885,
192,-0.00262185,
193,-0.01602649,
194,-0.09811609,
195,0.05413556,
196,0.04014008,
197,0.01499252,
198,0.01949767,
199,-0.03954924,
200,-0.01133671,
201,0.03242225,
202,-0.06355205,
203,0.04279885,
204,-0.04032472,
205,0.02673544,
206,0.02595996,
207,0.02740013,
208,-0.01248146,
209,0.00697928,
210,-0.0665801,
211,0.0296527,
212,0.00206793,
213,-0.00468978,
214,-0.05683126,
215,0.08223731,
216,-0.00742241,
217,0.01325694,
218,0.03312387,
219,-0.01635884,
220,-0.01990387,
221,0.07621815,
222,-0.08670553,
223,-0.02477828,
224,0.04981506,
225,-0.01443861,
226,0.04039857,
227,-0.0516245,
228,0.06650624,
229,-0.01761437,
230,0.02669851,
231,-0.03076052,
232,-0.00144017,
233,0.01942381,
234,0.0161742,
235,-0.08301279,
236,0.04121097,
237,0.03611499,
238,0.00420972,
239,0.00232643,
240,-0.01598956,
241,0.01598956,
242,-0.08500687,
243,0.06285043,
244,-0.00576067,
245,0.00513291,
246,0.00151402,
247,0.0207532,
248,-0.00583453,
249,-0.00395123,
250,-0.07522111,
251,-0.14534623,
252,0.15358104,
253,0.01314615,
254,0.0346379,
255,-0.00144017,
256,-0.02784326,
257,-0.11388409,
258,0.11048677,
259,-0.08482223,
260,0.04807947,
261,0.0350441,
262,0.00140324,
263,0.00483749,
264,-0.06096713,
265,0.04741478,
266,0.01074587,
267,0.00262185,
268,-0.01248146,
269,0.01022889,
270,-0.11325632,
271,-0.00926878,
272,-0.00963805,
273,-0.01192755,
274,0.00011078,
275,0.09482955,
276,0.00786554,
277,0.04715629,
278,0.00502213,
279,0.00291726,
280,-0.04553148,
281,-0.05413556,
282,0.05103366,
283,-0.02274728,
284,0.04128483,
285,0.00343425,
286,-0.01709738,
287,-0.01953459,
288,-0.06329356,
289,0.10184576,
290,0.00845637,
291,-0.02684622,
292,0.02433515,
293,-0.05435713,
294,-0.07078982,
295,0.0261446,
296,0.1017719,
297,0.0176513,
298,-0.03648427,
299,-0.10420911,
300,0.13991791,
301,-0.04372204,
302,0.06491836,
303,-0.02976348,
304,-0.02337504,
305,0.06122562,
306,0.00871487,
307,0.00225257,
308,-0.00967498,
309,-0.00845637,
310,-0.00114475,
311,0.01344157,
312,-0.01063509,
313,-0.01133671,
314,-0.06255501,
315,0.04150639,
316,0.03090823,
317,0.0008124,
318,-0.12987365,
319,-0.01898068,
320,0.05638813,
321,0.06661702,
322,0.10402448,
323,0.00550218,
324,-0.01059816,
325,-0.03973388,
326,0.04627003,
327,0.0076809,
328,-0.00014771,
329,0.00011078,
330,-0.00805017,
331,-0.00262185,
332,-0.00801325,
333,-0.0153618,
334,0.01923917,
335,-0.12256203,
336,0.07474105,
337,0.01285073,
338,-0.01462325,
339,0.02551683,
340,0.00779168,
341,-0.0516245,
342,0.02071627,
343,-0.09848537,
344,0.069682,
345,0.03796136,
346,0.06344127,
347,-0.07067904,
348,0.08090793,
349,0.01491867,
350,-0.02662465,
351,-0.00288034,
352,0.01059816,
353,-0.0835667,
354,0.09206,
355,0.02064241,
356,0.00576067,
357,0.00587146,
358,-0.0022895,
359,-0.01285073,
360,0.0018833,
361,0.00029542,
362,-0.00694235,
363,0.00206793,
364,-0.00339732,
365,0.00022156,
366,-0.01351543,
367,-0.02983734,
368,0.00273263,
369,-0.022378,
370,-0.01646962,
371,0.04194952,
372,0.04423902,
373,0.01473403,
374,0.00321268,
375,0.00450514,
376,-0.00908414,
377,-0.10225196,
378,0.09217078,
