製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）
計測時ID,1,2,3
計測開始時刻,2024/6/17 12:32,2024/6/17 12:32,2024/6/17 12:32
サンプリング周波数,200,200,200
シーケンス数,5788,5788,5788
PGAゲイン,x12,x12,x12
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
コメント,,,
ファイル保存形式,演算データ,演算データ,演算データ
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV]
296,-0.14702027,-0.00760704,-0.02001465
297,0.04396822,-0.00435743,-0.03010814
298,0.01250608,0.00531755,-0.01413088
299,-0.005933,-0.00864101,0.0110536
300,-0.00398816,-0.01634653,-0.02562761
301,-0.00322499,-0.01238299,-0.01381085
302,0.00019695,-0.00709006,-0.00526831
303,0.00893643,0.00305266,0.01937457
304,0.00760704,-0.01115207,-0.03045279
305,0.19281025,-0.01553412,0.03503179
306,-0.02013774,-0.00219103,0.0318068
307,0.08229886,0.01065971,0.04374666
308,-0.05307698,0.00327423,0.05285541
309,0.02380586,-0.01410627,-0.09189998
310,0.00534216,-0.00630228,-0.02245186
311,0.02432285,-0.00349579,-0.00398816
312,0.00728701,0.00297881,-0.00361888
313,-0.03000966,0.01843908,0.01782362
314,0.07314086,-0.00802555,0.00974883
315,-0.15898475,-0.01681427,-0.01139826
316,-0.02877875,-0.01004425,-0.01814366
317,-0.02887722,-0.0048498,0.01164444
318,-0.01250608,-0.00317576,-0.01462325
319,0.00598224,-0.00694235,0.00723777
320,-0.00583453,-0.01713431,-0.03133905
321,0.00022156,-0.01100436,0.03535183
322,0.03365317,-0.00509598,-0.12747337
323,-0.02550452,0.00265877,0.02998505
324,-0.02058087,-0.01445092,0.01789748
325,-0.00285572,-0.01432783,0.0207532
326,-0.01777439,-0.01171829,0.00034466
327,0.05098443,0.00635151,-0.00029542
328,0.12661173,0.00408663,0.00571144
329,0.00288034,-0.00169866,0.04559303
330,-0.00352041,-0.01065971,-0.02200873
331,-0.12693177,-0.0229196,-0.0385522
332,0.07075289,-0.00785323,0.00157557
333,0.11211158,0.01088127,0.00278186
334,0.07506109,-0.00433281,0.02380586
335,-0.19352418,-0.00832097,-0.02124556
336,-0.08190497,-0.0121368,-0.01880835
337,-0.07156529,-0.00044313,-0.00216641
338,-0.05750827,0.00071393,-0.0456915
339,0.02533219,-0.01912839,0.05179683
340,-0.02181178,-0.00777937,-0.03673045
341,-0.01541103,-0.00854254,-0.01991618
342,0.00115706,-0.00494827,-0.05455407
343,-0.01491867,0.00684388,0.0570159
344,0.06526302,-0.00844406,0.03953693
345,0.01038891,-0.01528794,-0.03050203
346,-0.11289936,-0.00317576,0.03931537
347,-0.06107791,-0.00551449,-0.00731162
348,0.25827021,0.00066469,-0.05322469
349,0.01787286,-0.01570645,-0.02296884
350,0.04047243,-0.01629729,-0.01250608
351,0.00017233,-0.0094288,-0.00438205
352,0.14160426,-0.00955189,0.00829636
353,-0.16841355,-0.01043814,-0.00408663
354,-0.07045747,-0.02464288,-0.02850795
355,-0.076292,-0.0149679,-0.02159022
356,0.00844406,-0.01191524,-0.00216641
357,0.02368277,-0.00413587,0.01129978
358,-0.02759707,-0.00155095,0.01075818
359,-0.02693238,-0.01472172,-0.01285073
360,-0.00260954,-0.01875912,-0.00583453
361,0.01166906,-0.0039143,0.05352011
