製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,
計測開始時刻,10/10 16:07:20,10/10 16:07:20,
サンプリング周波数,200,200,
シーケンス数,7188,7188,
PGAゲイン,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,
ファイル保存形式,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],
403,-0.02097476,-0.01075818,
404,-0.00743472,-0.08303741,
405,0.03751823,-0.02072858,
406,-0.02850795,0.02417514,
407,-0.01102898,-0.03392397,
408,-0.00416049,0.02200873,
409,0.01395856,-0.02779402,
410,0.00834559,0.03000966,
411,-0.01041353,0.01504176,
412,0.00659769,-0.02624307,
413,0.03724743,-0.06245654,
414,0.01041353,0.02245186,
415,-0.01491867,-0.01088127,
416,-0.00251106,-0.01004425,
417,0.00103397,0.0337024,
418,0.01585416,-0.01196448,
419,0.03769056,-0.03229916,
420,-0.03018199,0.03505641,
421,-0.01942381,-0.0337024,
422,-0.0008124,-0.00064007,
423,0.01061047,-0.00354503,
424,-0.0022895,-0.02208258,
425,-0.00150171,0.05467717,
426,0.00251106,-0.04943347,
427,0.02255033,0.00440667,
428,0.00743472,-0.0005416,
429,0.00526831,0.03429324,
430,0.00032004,-0.00305266,
431,0.01164444,-0.00182175,
432,-0.00096011,-0.0349087,
433,0.0130723,-0.06910347,
434,0.01558336,-0.02368277,
435,-0.01703584,0.04539608,
436,0.0107828,-0.07639047,
437,0.0125307,-0.01073356,
438,-0.0102412,0.02725242,
439,-0.0093057,0.00002462,
440,-0.00770552,0.00548987,
441,-0.00630228,0.05960082,
442,-0.00435743,-0.05726208,
443,0.02853257,-0.0087641,
444,0.04546993,-0.00531755,
445,-0.02631692,-0.02476597,
446,0.00736086,-0.03084669,
447,-0.0261446,0.00268339,
448,0.00120629,0.03232378,
449,0.01555874,-0.0107828,
450,0.01450016,-0.00137862,
451,-0.00359427,-0.00536678,
452,0.00002462,-0.02740013,
453,0.00487442,0.0110536,
454,0.00580991,-0.03798598,
455,-0.01518947,-0.00514522,
456,0.00460362,-0.00817326,
457,-0.00007385,-0.00091088,
458,0.00327423,-0.00448052,
459,-0.00317576,0.01422936,
460,-0.01302306,-0.04817794,
461,0.00145248,-0.00891181,
462,-0.00605609,-0.00802555,
463,0.00748395,0.03148676,
464,0.01878374,-0.01597725,
465,-0.00339732,-0.05228919,
466,-0.01730664,-0.00556373,
467,0.00452976,-0.00014771,
468,0.01472172,-0.01149673,
469,0.02579994,0.01097975,
470,-0.00834559,0.01356466,
471,-0.00396354,-0.0359919,
472,0.02471674,-0.01413088,
473,0.00588377,-0.02171331,
474,-0.00765628,0.01755282,
475,-0.00785323,0.02533219,
476,0.00115706,0.01949767,
477,0.00681926,-0.01831599,
478,0.02119633,-0.06565691,
479,0.01038891,0.04325429,
480,-0.01654347,-0.02124556,
481,0.01048738,-0.01260455,
482,0.01733126,-0.03030508,
483,-0.02932035,0.01605111,
484,0.00145248,0.01838984,
485,-0.00967498,-0.00965036,
486,0.01189062,-0.02540605,
487,0.00374198,0.0179221,
488,-0.00974883,-0.03426862,
489,0.00078778,0.01543565,
490,0.03109287,-0.00470209,
491,0.02949268,-0.01164444,
492,-0.04224494,-0.00534216,
493,0.00460362,0.06969431,
494,0.0068685,-0.14116113,
495,0.00977345,-0.00445591,
496,0.02311655,-0.03353008,
497,-0.00829636,-0.02311655,
498,-0.01393394,0.01654347,
499,0.02269804,-0.01597725,
500,-0.00285572,0.01568183,
501,-0.02922188,0.0292465,
502,0.0040374,0.01504176,
503,0.01701122,0.00864101,
504,-0.00561296,-0.00253568,
505,-0.00965036,0.01368775,
506,0.01285073,0.02663696,
507,0.00450514,-0.04620848,
508,0.01558336,0.08448988,
509,0.00556373,-0.06334279,
510,-0.00315114,-0.04106326,
511,0.01565722,0.01142287,
512,0.00374198,-0.01127517,
513,-0.0144263,-0.01811904,
514,-0.00145248,0.02279651,
515,0.00268339,-0.03185603,
516,-0.00317576,-0.00204332,
517,-0.00401278,-0.0068685,
518,0.01356466,-0.00598224,
519,0.00544064,-0.03205298,
520,0.0187345,0.00901028,
521,-0.01770053,0.03764133,
522,0.00292957,0.0323484,
523,0.03121596,-0.00288034,
524,0.00152633,-0.02653849,
525,0.00105859,-0.00955189,
526,0.00137862,-0.0334316,
527,0.00204332,-0.02442132,
528,-0.00260954,-0.0025603,
529,-0.00999502,-0.03399782,
530,-0.00041851,0.01233375,
531,0.00723777,0.06161952,
532,-0.00288034,-0.05388938,
533,0.02562761,-0.01910377,
534,-0.00292957,0.00051698,
535,-0.02085167,0.00871487,
536,0.02390433,-0.01319539,
537,0.01861141,-0.00066469,
538,-0.00150171,0.00659769,
539,0.02988657,-0.02604612,
540,-0.02218106,-0.02808944,
541,-0.0008124,0.05253538,
542,0.01161982,-0.05775445,
543,0.00536678,0.01363852,
544,0.00236335,-0.01533718,
545,0.01061047,-0.01597725,
546,0.01127517,0.00300343,
547,-0.01152135,0.02508601,
548,0.00561296,-0.04126021,
549,-0.01435245,-0.02607074,
550,0.0079517,-0.03072359,
551,0.00275725,0.02808944,
552,-0.01811904,-0.07954161,
553,-0.00598224,0.05228919,
554,-0.00288034,-0.00928109,
555,0.00216641,-0.01841446,
556,0.01560798,-0.00536678,
557,0.01553412,0.00659769,
558,0.00224026,-0.03414553,
559,0.00128015,-0.00150171,
560,-0.0002708,0.05713899,
561,0.01632191,0.00137862,
562,-0.01622344,0.01277688,
563,0.00672079,-0.03727205,
564,-0.00376659,-0.01947305,
565,0.01356466,-0.02764631,
566,0.0040374,-0.00925647,
567,-0.01701122,0.01531256,
568,-0.00920723,-0.00568682,
569,-0.02218106,0.02099938,
570,0.0074101,-0.09081678,
571,-0.00854254,-0.00157557,
572,-0.00608071,-0.05179683,
573,0.00509598,0.00733624,
574,0.00841945,-0.01863603,
575,0.0115952,0.00376659,
576,-0.00315114,0.05369243,
577,-0.01198909,-0.03412091,
578,-0.01627267,-0.01824213,
579,0.00071393,-0.00546525,
580,-0.00125553,-0.01450016,
581,0.00017233,-0.00482518,
582,0.0125307,0.01541103,
583,0.01203833,0.00654846,
584,0.00214179,0.0020187,
585,0.00152633,-0.00371736,
586,-0.00556373,0.01656809,
587,0.01176753,-0.06245654,
588,0.0020187,-0.0331608,
589,0.01302306,0.00814865,
590,-0.02680929,-0.02063011,
591,-0.00179713,-0.0062038,
592,-0.00206793,-0.02282113,
593,-0.01080742,0.022378,
594,0.00300343,0.01659271,
595,0.00773013,0.02082705,
596,0.01250608,-0.05302774,
597,-0.00007385,0.00888719,
598,0.00317576,-0.04261422,
599,0.00278186,0.06075788,
600,-0.00669617,0.02161484,
601,0.00536678,0.00078778,
602,0.00167404,-0.00598224,
603,0.00470209,-0.03394859,
604,0.01642038,-0.0233135,
605,0.00182175,0.05049206,
606,-0.00014771,-0.02688314,
607,0.00642537,-0.01804519,
608,-0.01139826,-0.02565223,
609,0.00869025,0.01142287,
610,-0.00022156,-0.016445,
611,0.00716391,-0.0008124,
612,-0.00551449,0.03279153,
613,0.00731162,0.00585915,
614,0.0149679,-0.02114709,
615,-0.00292957,-0.00797632,
616,-0.01632191,-0.03362855,
617,-0.01250608,-0.02060549,
618,0.00777937,-0.01642038,
619,0.00901028,0.03749362,
620,0.0203593,-0.00583453,
621,-0.02235338,0.00039389,
622,0.00324961,-0.02567685,
623,0.01127517,0.00263415,
624,0.01302306,-0.02907417,
625,-0.0020187,0.00420972,
626,0.00312652,-0.01048738,
