製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,04/23 18:22:48,
サンプリング周波数,200,
シーケンス数,8724,
PGAゲイン,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
227,-0.04414055,
228,0.01925148,
229,-0.0490642,
230,0.00413587,
231,0.02799097,
232,0.0159034,
233,-0.00128015,
234,-0.00374198,
235,0.00007385,
236,-0.01282612,
237,0.00773013,
238,-0.00834559,
239,-0.00096011,
240,0.00120629,
241,0.00339732,
242,0.00009847,
243,0.00475133,
244,0.00644999,
245,0.01898068,
246,-0.01767591,
247,-0.00388969,
248,0.00115706,
249,-0.01420474,
250,0.02602151,
251,-0.10900967,
252,0.05191992,
253,0.06001933,
254,0.04170334,
255,-0.05228919,
256,-0.0175282,
257,0.03973388,
258,0.01068433,
259,0.03244687,
260,-0.10546464,
261,0.0559327,
262,0.01888221,
263,-0.00292957,
264,0.02072858,
265,0.01708508,
266,0.04943347,
267,0.01272764,
268,0.00428358,
269,-0.09692211,
270,0.04842413,
271,0.07282083,
272,0.00224026,
273,-0.02922188,
274,-0.00401278,
275,-0.05246152,
276,0.01706046,
277,0.03404706,
278,-0.00167404,
279,-0.00413587,
280,0.01701122,
281,0.03254535,
282,0.00482518,
283,-0.00248644,
284,-0.04724245,
285,-0.02826177,
286,0.0266862,
287,-0.02956654,
288,0.10258431,
289,-0.02360892,
290,-0.03303771,
291,-0.01011811,
292,0.00034466,
293,-0.01585416,
294,0.01425398,
295,0.06410596,
296,0.02611998,
297,0.00064007,
298,0.00583453,
299,-0.06543535,
300,0.03675507,
301,0.02432285,
302,-0.06408134,
303,-0.01632191,
304,0.05561266,
305,-0.02968963,
306,-0.0564743,
307,-0.08399752,
308,0.05091057,
309,0.0870748,
310,0.0159034,
311,0.011866,
312,-0.01208757,
313,0.03306233,
314,0.01614958,
315,-0.01779901,
316,-0.02752322,
317,-0.02828639,
318,0.01523871,
319,-0.06452447,
320,-0.03353008,
321,0.02562761,
322,0.05765598,
323,0.04662699,
324,-0.01270302,
325,-0.03355469,
326,0.01198909,
327,-0.00125553,
328,-0.00423434,
329,-0.02922188,
330,0.03712434,
331,-0.02912341,
332,-0.06238268,
333,0.08205267,
334,-0.00854254,
335,-0.0513537,
336,0.01088127,
337,0.06344127,
338,-0.06531226,
339,0.05512029,
340,0.02392895,
341,-0.08975819,
342,0.06125024,
343,0.04130945,
344,0.0040374,
345,-0.0036435,
346,0.00428358,
347,-0.02341197,
348,0.02710471,
349,0.01383546,
350,-0.01110284,
351,-0.05098443,
352,0.02796635,
353,0.01484481,
354,-0.02415052,
355,0.04992584,
356,-0.02225491,
357,-0.10349518,
358,0.03658274,
359,0.07614429,
360,0.04401746,
361,-0.01184139,
362,0.01437707,
363,-0.076292,
364,0.04372204,
365,0.02476597,
366,0.02690776,
367,-0.02200873,
368,-0.02988657,
369,0.01730664,
370,-0.00285572,
371,0.01447554,
372,-0.04734092,
373,-0.1117423,
374,0.1330371,
375,0.02949268,
376,-0.00051698,
377,-0.01014272,
378,0.0053914,
379,0.02592303,
380,0.01486943,
381,0.00317576,
382,-0.02496292,
383,0.00827174,
384,0.03020661,
385,-0.03441633,
386,0.00032004,
387,0.10630167,
388,0.01447554,
389,-0.00435743,
390,-0.04202338,
391,0.01265379,
392,-0.1037906,
393,-0.0102412,
394,0.07949238,
395,-0.01629729,
396,-0.13032909,
397,0.09965473,
398,0.03281615,
399,0.03165909,
400,0.00179713,
401,0.0308713,
402,-0.04426364,
403,0.00748395,
404,0.0308713,
405,0.02562761,
406,-0.02427361,
407,-0.15726147,
408,0.01029043,
409,-0.01068433,
410,0.1268333,
411,0.05841914,
412,-0.0246675,
413,-0.03353008,
414,0.0303297,
415,0.03377626,
416,-0.03271767,
417,0.03380088,
418,-0.08668091,
419,-0.00059084,
420,0.04379589,
421,-0.09002899,
422,0.08609007,
423,0.06851263,
424,0.01984232,
425,0.01073356,
426,-0.09667592,
427,0.0159034,
428,-0.00965036,
429,0.06742943,
430,0.04391898,
431,0.00132939,
432,-0.10039328,
433,0.06902961,
434,-0.04354971,
435,-0.02368277,
436,0.1350558,
437,-0.02274728,
438,-0.01627267,
439,-0.02676005,
440,-0.0400293,
441,0.03503179,
442,0.04955657,
443,-0.0187345,
444,0.01494329,
445,0.01137364,
446,0.03072359,
447,-0.06969431,
448,0.0501474,
449,0.00809941,
450,0.05861609,
451,-0.10593239,
452,0.01420474,
453,0.06427829,
454,-0.03104363,
455,0.03835526,
456,-0.02508601,
457,-0.02341197,
458,-0.07639047,
459,0.16385917,
460,-0.0536432,
461,0.00440667,
462,0.01915301,
463,0.02515987,
464,-0.0660508,
465,0.01097975,
466,0.00937956,
467,-0.0148202,
468,0.01189062,
469,0.02355968,
470,0.01614958,
471,-0.03995544,
472,-0.07412559,
473,0.05977315,
474,-0.02550452,
475,0.11371176,
476,-0.01400779,
477,-0.0346379,
478,0.01196448,
479,0.03860144,
480,0.00829636,
481,-0.06225959,
482,0.0331608,
483,-0.01829137,
484,-0.02309193,
485,0.0144263,
486,0.01888221,
487,0.02434746,
488,0.01112746,
489,-0.01947305,
490,-0.02112247,
491,-0.06115177,
492,0.02813868,
493,0.01287535,
494,0.02392895,
495,0.01014272,
496,-0.05913307,
497,0.00965036,
498,-0.03872453,
499,0.02545529,
500,0.03700125,
501,0.03227454,
502,-0.09199845,
503,0.0318068,
504,0.03933999,
505,-0.02434746,
506,0.02272266,
507,-0.01006887,
508,-0.20940296,
509,0.04384513,
510,0.11216081,
511,0.0095765,
512,0.02653849,
513,-0.05123061,
514,0.05536648,
515,-0.0082225,
516,0.03515488,
517,-0.00846868,
518,-0.02927112,
519,-0.00056622,
520,-0.07954161,
521,0.02648925,
522,0.08242195,
523,-0.03833064,
524,-0.02151636,
525,0.0303297,
526,0.05386476,
527,0.04020163,
528,-0.00132939,
529,-0.00482518,
530,0.00317576,
531,-0.00482518,
532,-0.09209693,
533,0.00182175,
534,0.03737053,
535,-0.11801996,
536,0.14761111,
537,0.04955657,
538,-0.08205267,
539,0.02636616,
540,0.0583699,
541,0.01570645,
542,-0.00068931,
543,-0.05561266,
544,-0.05886227,
545,0.10263354,
546,0.02410128,
547,0.00967498,
548,-0.03995544,
549,-0.11058524,
550,0.02045778,
551,0.09234311,
552,-0.05246152,
553,0.04576535,
554,-0.07018667,
555,0.05659739,
556,-0.05103366,
557,0.02072858,
558,0.03990621,
559,0.00711468,
560,-0.02579994,
561,-0.09554348,
562,0.09716829,
563,0.01853755,
564,-0.04426364,
565,-0.01358928,
566,-0.04864569,
567,0.06592771,
568,0.01642038,
569,-0.06383516,
570,0.07240232,
571,-0.0436728,
572,0.07195919,
573,-0.01097975,
574,0.00312652,
575,-0.02663696,
576,-0.05947773,
577,0.05199377,
578,-0.09455875,
579,0.12646402,
580,0.02863104,
581,0.00622842,
582,-0.05482487,
583,-0.04711936,
584,-0.03621347,
585,0.09763604,
586,0.00896105,
587,0.00819788,
588,-0.00809941,
589,-0.05061515,
590,-0.02550452,
591,0.03813369,
592,-0.00243721,
593,0.00243721,
594,-0.01706046,
595,0.03387473,
596,0.01302306,
597,-0.10817265,
598,0.15465194,
599,0.0257507,
600,0.0095765,
601,-0.00214179,
602,-0.05519415,
603,0.00433281,
604,-0.01457401,
605,-0.00029542,
606,0.05238767,
607,-0.07033438,
608,0.00551449,
609,0.06090559,
610,-0.01642038,
611,-0.03439172,
612,-0.01893145,
613,0.05684357,
614,0.01437707,
615,-0.01952228,
616,-0.04153101,
617,0.07018667,
618,-0.07168839,
619,0.03788751,
620,-0.04007853,
621,0.02267342,
622,0.08244657,
623,0.01757744,
624,0.00169866,
625,-0.03781365,
626,0.04561764,
627,-0.04300811,
628,-0.01270302,
629,0.01622344,
630,-0.01986694,
631,0.04495295,
632,-0.02011312,
633,-0.06629699,
634,-0.02146713,
635,0.03074821,
636,0.05640044,
637,0.03500717,
638,0.03170832,
639,-0.01565722,
640,0.01100436,
641,-0.05110752,
642,0.04746401,
643,0.00339732,
644,-0.01294921,
645,-0.22459243,
646,0.10937895,
647,0.07944314,
648,-0.05763136,
649,0.11612435,
650,0.02973886,
651,0.01664195,
652,-0.03143752,
653,-0.03116672,
654,-0.02045778,
655,0.05807449,
656,-0.02936959,
657,-0.11344096,
658,0.13889625,
659,0.01437707,
660,-0.05115675,
661,-0.00854254,
662,-0.05622812,
663,0.08133875,
664,0.03293924,
665,0.01373699,
666,0.00965036,
667,-0.01097975,
668,0.03461328,
669,-0.1132194,
670,0.03707511,
671,-0.10802494,
672,0.16179123,
673,0.02939421,
674,-0.00452976,
675,-0.09335246,
676,0.07067904,
677,0.03540106,
678,-0.03252073,
679,0.03591805,
680,-0.03375164,
681,0.05642506,
682,0.00937956,
683,-0.05696666,
684,0.0176513,
685,-0.06481989,
686,0.07491338,
687,0.02279651,
688,0.00548987,
689,-0.00721315,
690,-0.05233843,
691,-0.00536678,
692,0.00128015,
693,0.00649922,
694,0.03399782,
695,0.01447554,
696,0.02981272,
697,-0.0289757,
698,-0.06952198,
699,0.04753787,
700,-0.02840948,
701,-0.00521907,
702,0.03456404,
703,-0.03941384,
704,-0.010512,
705,0.04133407,
706,0.01885759,
707,-0.03837987,
708,-0.08367748,
709,0.03547492,
710,0.09290933,
711,-0.04128483,
712,0.0572867,
713,0.00891181,
714,-0.00699159,
715,-0.00765628,
716,-0.08645934,
717,0.03515488,
718,0.04322967,
719,-0.04268807,
720,0.02235338,
721,0.00792708,
722,0.00192022,
723,-0.03879838,
724,-0.05420942,
725,0.05583422,
726,0.0385522,
727,0.02735089,
728,-0.00278186,
729,-0.02730166,
730,0.00568682,
731,-0.02023621,
732,-0.08335744,
733,0.08094485,
734,0.02136865,
735,-0.00189561,
736,-0.01134902,
737,-0.01373699,
738,-0.00068931,
739,0.04305734,
740,-0.04916267,
741,0.04992584,
742,-0.04864569,
743,0.06907885,
744,0.02072858,
745,-0.01678966,
746,0.00034466,
747,0.02639078,
748,-0.04433749,
749,-0.01358928,
750,0.02013774,
751,0.01198909,
752,0.02099938,
753,0.00096011,
754,-0.0888227,
755,0.09386944,
756,-0.01161982,
757,-0.02971425,
758,0.05541571,
759,0.00723777,
760,-0.01890683,
761,-0.01430321,
762,0.03340698,
763,0.00743472,
764,-0.0513537,
765,0.03820755,
766,0.01026582,
767,0.00150171,
768,-0.01597725,
769,-0.02405204,
770,-0.03586881,
771,0.03365317,
772,0.01848832,
773,-0.0258738,
774,-0.08133875,
775,-0.005933,
776,0.00699159,
777,0.02742475,
778,0.04967966,
779,0.03426862,
780,-0.01085665,
781,0.01774977,
782,0.00563758,
783,-0.02090091,
784,-0.00352041,
785,0.03013276,
786,-0.0266862,
787,-0.0306005,
788,-0.0700882,
789,0.04835027,
790,-0.00920723,
791,0.03577034,
792,-0.02550452,
793,0.01942381,
794,0.06137333,
795,0.02053163,
796,-0.0351795,
797,0.02993581,
798,0.01804519,
799,-0.0167158,
800,0.02616921,
801,0.00605609,
802,-0.06797103,
803,-0.0008124,
804,0.07757215,
805,-0.06272734,
806,0.0405709,
807,0.01585416,
808,-0.0218364,
809,0.00290496,
810,0.0474394,
811,0.01312153,
812,-0.05406171,
813,-0.04414055,
814,0.03813369,
815,0.04903958,
816,0.02186102,
817,-0.06356436,
818,0.07498723,
819,-0.02740013,
820,0.03700125,
821,-0.00965036,
822,-0.059847,
823,0.03759209,
824,-0.00856716,
825,0.03365317,
826,-0.00534216,
827,-0.02373201,
828,-0.00544064,
829,-0.04470677,
830,0.01137364,
831,-0.0039143,
832,0.05955158,
833,0.01708508,
834,0.00288034,
835,-0.11673981,
836,0.01632191,
837,0.05221534,
838,0.07232846,
839,0.01363852,
840,0.00994578,
841,-0.02710471,
842,-0.01642038,
843,0.03451481,
844,-0.06435214,
845,0.06134871,
846,0.01851293,
847,0.00642537,
848,-0.03584419,
849,0.01400779,
850,-0.042048,
851,-0.0067454,
852,-0.00999502,
853,0.01851293,
854,0.07328857,
855,-0.02119633,
856,0.04465753,
857,-0.05635121,
858,-0.00925647,
859,0.06447523,
860,0.0130723,
861,0.01445092,
862,-0.00251106,
863,-0.03030508,
864,0.00487442,
865,-0.00182175,
866,-0.02262418,
867,0.01504176,
868,-0.00691773,
869,-0.06590309,
870,0.06127486,
871,0.01454939,
872,-0.04724245,
873,-0.03695201,
874,0.06772485,
875,0.00925647,
876,0.00785323,
877,-0.05819758,
878,0.03695201,
